Name,Critic_Score,User_Score,Platform
Bully,87,9,PS2
Resident Evil 4,96,9,PS2
Phoenix Wright: Ace Attorney,81,9,DS
Devil May Cry 3: Dante's Awakening,84,9,PS2
Metal Gear Solid 3: Snake Eater,91,9,PS2
Grand Theft Auto: San Andreas,95,9,PS2
Burnout 3: Takedown,93,9,PS2
Pikmin 2,90,9,GC
Star Wars: Knights of the Old Republic,93,9,PC
Mario & Luigi: Superstar Saga,90,9,GBA
The Legend of Zelda Collector's Edition,95,9,GC
Ratchet & Clank: Going Commando,90,9,PS2
Star Wars: Knights of the Old Republic,94,9,XBOX
Warcraft III: The Frozen Throne,88,9,PC
Golden Sun: The Lost Age,86,9,GBA
Dynasty Warriors 4,78,9,PS2
The Legend of Zelda: Ocarina of Time / Master Quest,91,9,GC
War of the Monsters,80,9,PS2
Metroid Fusion,92,9,GBA
Harry Potter and the Chamber of Secrets,76,9,GBA
Kingdom Hearts,85,9,PS2
Onimusha 2: Samurai's Destiny,84,9,PS2
Drakan: The Ancients' Gates,78,9,PS2
Golden Sun,91,9,GBA
Silent Hill 2,89,9,PS2
Advance Wars,92,9,GBA
Klonoa 2: Lunatea's Veil,91,9,PS2
Diablo II: Lord of Destruction,87,9,PC
Banjo-Tooie,90,9,N64
Resident Evil 3: Nemesis,79,9,DC
Dino Crisis,74,9,DC
Age of Empires II: The Conquerors Expansion,88,9,PC
Thief II: The Metal Age,87,9,PC
Parasite Eve II,79,9,PS
Gran Turismo 2,93,9,PS
Unreal Tournament (1999),92,9,PC
Rayman 2: The Great Escape,90,9,N64
Age of Empires II: The Age of Kings,92,9,PC
Legacy of Kain: Soul Reaver,91,9,PS
Silent Hill,86,9,PS
Myth II: Soulblighter,88,9,PC
Thief: The Dark Project,92,9,PC
Crash Bandicoot 3: Warped,91,9,PS
Parasite Eve,81,9,PS
The Curse of Monkey Island,89,9,PC
Valkyria Chronicles 4,81,8.9,Switch
Firewall Zero Hour,79,8.9,PS4
NieR: Automata - Become as Gods Edition,90,8.9,XONE
Super Mario Odyssey,97,8.9,Switch
The Evil Within 2,80,8.9,PC
Metroid: Samus Returns,85,8.9,3DS
Kingdom Hearts HD I.5 + II.5 Remix,84,8.9,PS4
NieR: Automata,88,8.9,PS4
Hollow Knight,87,8.9,PC
The Witcher 3: Wild Hunt - Blood and Wine,91,8.9,PS4
Dark Souls III,89,8.9,PS4
Life is Strange: Episode 3 - Chaos Theory,80,8.9,PC
Mario Kart 8 DLC Pack 2,90,8.9,WIIU
Xenoblade Chronicles 3D,86,8.9,3DS
Bloodborne,92,8.9,PS4
Cities: Skylines,85,8.9,PC
The Legend of Zelda: Majora's Mask 3D,89,8.9,3DS
Mario Kart 8,88,8.9,WIIU
Donkey Kong Country: Tropical Freeze,83,8.9,WIIU
Super Mario 3D World,93,8.9,WIIU
Tearaway,87,8.9,VITA
The Wolf Among Us: Episode 1 - Faith,85,8.9,PC
The Legend of Zelda: The Wind Waker HD,90,8.9,WIIU
Killzone: Mercenary,78,8.9,VITA
Okami HD,90,8.9,PS3
Black Mesa,86,8.9,PC
Metal Gear Solid HD Collection,89,8.9,PS3
Dark Souls,89,8.9,PS3
The Legend of Zelda: Ocarina of Time 3D,94,8.9,3DS
Final Fantasy IV: The Complete Collection,77,8.9,PSP
Professor Layton and the Unwound Future,86,8.9,DS
Monkey Island 2 Special Edition: LeChuck's Revenge,87,8.9,PC
Red Dead Redemption,95,8.9,PS3
Mass Effect 2,96,8.9,X360
Football Manager 2010,87,8.9,PC
Ratchet & Clank Future: A Crack in Time,87,8.9,PS3
Uncharted 2: Among Thieves,96,8.9,PS3
Demon's Souls,89,8.9,PS3
The Secret of Monkey Island: Special Edition,86,8.9,PC
Plants vs. Zombies,87,8.9,PC
Pro Evolution Soccer 2009,84,8.9,WII
Okami,90,8.9,WII
Super Smash Bros. Brawl,93,8.9,WII
Nobunaga's Ambition: Rise to Power,70,8.9,PS2
Supreme Commander: Forged Alliance,81,8.9,PC
Final Fantasy Tactics: The War of the Lions,88,8.9,PSP
Metroid Prime 3: Corruption,90,8.9,WII
BioShock,96,8.9,X360
Final Fantasy,67,8.9,PSP
God of War II,93,8.9,PS2
The Legend of Zelda: Twilight Princess,96,8.9,GC
TrackMania United,80,8.9,PC
Medieval II: Total War,88,8.9,PC
"Warhammer 40,000: Dawn of War - Dark Crusade",87,8.9,PC
Valkyrie Profile 2: Silmeria,84,8.9,PS2
NASCAR 07,68,8.9,PS2
Armored Core: Last Raven,59,8.9,PS2
And 1 Streetball,51,8.9,PS2
Hitman: Blood Money,81,8.9,XBOX
Space Rangers 2: Rise of the Dominators,84,8.9,PC
Metal Gear Solid 3: Subsistence,94,8.9,PS2
Syphon Filter: Dark Mirror,87,8.9,PSP
MLB 06: The Show,83,8.9,PS2
Chibi-Robo!,75,8.9,GC
Devil May Cry 3: Special Edition,87,8.9,PS2
Dragon Quest VIII: Journey of the Cursed King,89,8.9,PS2
Need for Speed Most Wanted,82,8.9,PS2
Need for Speed Most Wanted,83,8.9,XBOX
Fatal Frame III: The Tormented,78,8.9,PS2
Star Wars: Battlefront II,84,8.9,PS2
Ratchet: Deadlocked,81,8.9,PS2
Fire Emblem: Path of Radiance,85,8.9,GC
Burnout Revenge,90,8.9,PS2
Advance Wars: Dual Strike,90,8.9,DS
Grand Theft Auto: San Andreas,93,8.9,PC
Knights of Honor,77,8.9,PC
Fire Emblem: The Sacred Stones,85,8.9,GBA
WarioWare: Twisted!,88,8.9,GBA
Haunting Ground,67,8.9,PS2
Midnight Club 3: DUB Edition,84,8.9,PS2
Tom Clancy's Splinter Cell Chaos Theory,94,8.9,XBOX
God of War,94,8.9,PS2
Nexus: The Jupiter Incident,77,8.9,PC
Oddworld: Stranger's Wrath,88,8.9,XBOX
Mercenaries,84,8.9,PS2
Mercenaries,86,8.9,XBOX
The Legend of Zelda: The Minish Cap,89,8.9,GBA
Greg Hastings' Tournament Paintball,74,8.9,XBOX
Tom Clancy's Ghost Recon 2,80,8.9,XBOX
Vampire: The Masquerade - Bloodlines,80,8.9,PC
Donkey Kong Country 2,80,8.9,GBA
Ace Combat 5: The Unsung War,84,8.9,PS2
Counter-Strike: Source,88,8.9,PC
Shadow Hearts: Covenant,85,8.9,PS2
Katamari Damacy,86,8.9,PS2
Def Jam: Fight for NY,83,8.9,PS2
Tiger Woods PGA Tour 2005,88,8.9,XBOX
Gungrave: Overdose,68,8.9,PS2
Sly 2: Band of Thieves,88,8.9,PS2
Street Racing Syndicate,62,8.9,PS2
WWE Day of Reckoning,79,8.9,GC
ESPN NFL 2K5,92,8.9,XBOX
Shining Force: Resurrection of the Dark Dragon,77,8.9,GBA
The Chronicles of Riddick: Escape From Butcher Bay,89,8.9,XBOX
Rallisport Challenge 2,87,8.9,XBOX
Silent Hill 3,72,8.9,PC
Metal Gear Solid: The Twin Snakes,85,8.9,GC
Ninja Gaiden,91,8.9,XBOX
Romance of the Three Kingdoms IX,74,8.9,PS2
Metroid: Zero Mission,89,8.9,GBA
Fatal Frame II: Crimson Butterfly,81,8.9,PS2
Culdcept,78,8.9,PS2
Harvest Moon: Friends of Mineral Town,81,8.9,GBA
Beyond Good & Evil,86,8.9,PS2
Gothic II,79,8.9,PC
WWE SmackDown! Here Comes the Pain,85,8.9,PS2
Super Mario Advance 4: Super Mario Bros. 3,94,8.9,GBA
SSX 3,93,8.9,PS2
Max Payne 2: The Fall of Max Payne,86,8.9,PC
Command & Conquer: Generals - Zero Hour,83,8.9,PC
Buffy the Vampire Slayer: Chaos Bleeds,72,8.9,PS2
SoulCalibur II,92,8.9,XBOX
Romance of the Three Kingdoms VIII,77,8.9,PS2
Virtua Fighter 4: Evolution,93,8.9,PS2
Silent Hill 3,85,8.9,PS2
Downhill Domination,79,8.9,PS2
Naval Ops: Warship Gunner,67,8.9,PS2
Donkey Kong Country,78,8.9,GBA
Evil Dead: A Fistful of Boomstick,55,8.9,PS2
Rise of Nations,89,8.9,PC
The Legend of Zelda: The Wind Waker,96,8.9,GC
MVP Baseball 2003,81,8.9,PS2
Zone of the Enders: The 2nd Runner,82,8.9,PS2
Freelancer,85,8.9,PC
Metal Gear Solid 2: Substance,87,8.9,PS2
The Legend of Zelda: A Link to the Past,95,8.9,GBA
Silent Hill 2,70,8.9,PC
Tomb Raider: The Prophecy,66,8.9,GBA
MechWarrior 4: Mercenaries,83,8.9,PC
Ratchet & Clank,88,8.9,PS2
Age of Mythology,89,8.9,PC
Shenmue II,80,8.9,XBOX
Tiger Woods PGA Tour 2003,88,8.9,PS2
TimeSplitters 2,90,8.9,PS2
Yoshi's Island: Super Mario Advance 3,91,8.9,GBA
Taz Wanted,65,8.9,PS2
Gungrave,65,8.9,PS2
Ty the Tasmanian Tiger,70,8.9,PS2
Mega Man Zero,82,8.9,GBA
Armored Core 3,74,8.9,PS2
Operation Flashpoint: Resistance,77,8.9,PC
Tactics Ogre: The Knight of Lodis,88,8.9,GBA
The Elder Scrolls III: Morrowind,89,8.9,PC
Deus Ex: The Conspiracy,81,8.9,PS2
Blood Omen 2,76,8.9,XBOX
Hot Shots Golf 3,85,8.9,PS2
Fatal Frame,74,8.9,PS2
Super Mario World: Super Mario Advance 2,92,8.9,GBA
NFL Blitz 20-02,76,8.9,PS2
Final Fantasy X,92,8.9,PS2
Shadow Hearts,73,8.9,PS2
SSX Tricky,92,8.9,PS2
Ace Combat 04: Shattered Skies,89,8.9,PS2
Stronghold,81,8.9,PC
Command & Conquer: Red Alert 2 - Yuri's Revenge,86,8.9,PC
Lunar 2: Eternal Blue Complete,86,8.9,PS
Giants: Citizen Kabuto,85,8.9,PC
Resident Evil 2,77,8.9,DC
Breath of Fire IV,83,8.9,PS
Skies of Arcadia,93,8.9,DC
Medal of Honor Underground,86,8.9,PS
Spyro: Year of the Dragon,91,8.9,PS
Zeus: Master of Olympus,87,8.9,PC
Command & Conquer: Red Alert 2,84,8.9,PC
Rollcage Stage II,85,8.9,PS
Ogre Battle 64,82,8.9,N64
RollerCoaster Tycoon: Loopy Landscapes,80,8.9,PC
Metal Gear Solid,83,8.9,PC
Homeworld: Cataclysm,89,8.9,PC
Mario Tennis,91,8.9,N64
Power Stone 2,87,8.9,DC
Perfect Dark,97,8.9,N64
Crash Team Racing,88,8.9,PS
Final Fantasy VIII,90,8.9,PS
Homeworld,93,8.9,PC
Tony Hawk's Pro Skater,92,8.9,PS
R4: Ridge Racer Type 4,88,8.9,PS
Sid Meier's Alpha Centauri,92,8.9,PC
Baldur's Gate,91,8.9,PC
Oddworld: Abe's Exoddus,88,8.9,PS
Alundra,86,8.9,PS
Total Annihilation,86,8.9,PC
Oddworld: Abe's Oddysee,85,8.9,PS
Star Fox 64,88,8.9,N64
Blood,82,8.9,PC
Sid Meier's Civilization II,94,8.9,PC
Dragon Ball FighterZ,88,8.8,Switch
Marvel's Spider-Man,87,8.8,PS4
Dragon Quest XI: Echoes of an Elusive Age,86,8.8,PS4
Sonic Mania Plus,91,8.8,Switch
Ys VIII: Lacrimosa of DANA,81,8.8,Switch
Hollow Knight,90,8.8,Switch
Tower 57,72,8.8,PC
The Evil Within 2,76,8.8,PS4
Sonic Mania,86,8.8,Switch
Yakuza 0,85,8.8,PS4
Steins;Gate 0,84,8.8,VITA
Sorcery! Parts 1 and 2,69,8.8,PC
The Legend of Heroes: Trails of Cold Steel,86,8.8,PS3
Super Mario Maker,88,8.8,WIIU
Steins;Gate,83,8.8,VITA
Steins;Gate,83,8.8,PS3
Life is Strange: Episode 2 - Out of Time,77,8.8,PC
Hatsune Miku: Project Diva F 2nd,78,8.8,PS3
Bayonetta,86,8.8,WIIU
Danganronpa 2: Goodbye Despair,81,8.8,VITA
The Walking Dead: Season Two Episode 5 - No Going Back,84,8.8,X360
The Wolf Among Us: Episode 5 - Cry Wolf,84,8.8,PC
Europa Universalis IV: Wealth of Nations,84,8.8,PC
Steins;Gate,87,8.8,PC
Final Fantasy X / X-2 HD Remaster,86,8.8,VITA
The Wolf Among Us: Episode 1 - Faith,85,8.8,PS3
The Wolf Among Us,80,8.8,PC
Europa Universalis IV,87,8.8,PC
Victoria II: Heart of Darkness,81,8.8,PC
The Cat Lady,81,8.8,PC
Primordia,72,8.8,PC
The Walking Dead: Episode 5 - No Time Left,89,8.8,PC
The Walking Dead: Episode 5 - No Time Left,89,8.8,X360
Zero Escape: Virtue's Last Reward,84,8.8,VITA
Zero Escape: Virtue's Last Reward,88,8.8,3DS
Project Zero 2: Wii Edition,77,8.8,WII
The Splatters,72,8.8,X360
Kid Icarus: Uprising,83,8.8,3DS
Journey,92,8.8,PS3
Crusader Kings II,82,8.8,PC
Rhythm Heaven Fever,83,8.8,WII
Stacking: The Lost Hobo King,71,8.8,X360
Tactics Ogre: Let Us Cling Together,87,8.8,PSP
Ghost Trick: Phantom Detective,83,8.8,DS
"Nine Hours, Nine Persons, Nine Doors",82,8.8,DS
The Sly Collection,85,8.8,PS3
Dragon Ball Z: Tenkaichi Tag Team,63,8.8,PSP
Kingdom Hearts: Birth by Sleep,82,8.8,PSP
Metal Gear Solid: Peace Walker,89,8.8,PSP
Mount & Blade: Warband,78,8.8,PC
Cave Story,89,8.8,WII
God of War III,92,8.8,PS3
Lazy Raiders,80,8.8,X360
Mass Effect 2,94,8.8,PC
Castlevania: The Adventure ReBirth,78,8.8,WII
Assassin's Creed II,90,8.8,X360
Mytran Wars,68,8.8,PSP
The Beatles: Rock Band,89,8.8,WII
Batman: Arkham Asylum,91,8.8,PS3
The Secret of Monkey Island: Special Edition,88,8.8,X360
Dawn of Discovery,82,8.8,PC
Tiger Woods PGA Tour 10,88,8.8,WII
Defense Grid: The Awakening,81,8.8,PC
Dead Space,88,8.8,PS3
Kirby Super Star Ultra,76,8.8,DS
Castle Crashers,82,8.8,X360
Final Fantasy IV,85,8.8,DS
Metal Gear Solid 4: Guns of the Patriots,94,8.8,PS3
The World Ends with You,88,8.8,DS
Patapon,86,8.8,PSP
AudioSurf,85,8.8,PC
NeoGeo Battle Coliseum,66,8.8,PS2
Star Trek: Conquest,54,8.8,PS2
LEGO Star Wars: The Complete Saga,80,8.8,WII
The Witcher,81,8.8,PC
Ratchet & Clank Future: Tools of Destruction,89,8.8,PS3
The Orange Box,96,8.8,X360
RACE 07: Official WTCC Game,83,8.8,PC
MLB Power Pros,80,8.8,PS2
Syphon Filter: Logan's Shadow,85,8.8,PSP
Sonic the Hedgehog 2,82,8.8,X360
Medieval II: Total War Kingdoms,85,8.8,PC
IL-2 Sturmovik: 1946,86,8.8,PC
Making History: The Calm and the Storm,70,8.8,PC
Winning Eleven: Pro Evolution Soccer 2007,86,8.8,PS2
Yggdra Union,77,8.8,GBA
Yu-Gi-Oh! GX Tag Force,62,8.8,PSP
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,81,8.8,PSP
Tokobot Plus: Mysteries of the Karakuri,66,8.8,PS2
Destroy All Humans! 2,74,8.8,PS2
Dance Dance Revolution SuperNOVA,73,8.8,PS2
Samurai Warriors 2,58,8.8,PS2
Company of Heroes,93,8.8,PC
LEGO Star Wars II: The Original Trilogy,84,8.8,PS2
Rise & Fall: Civilizations at War,64,8.8,PC
Hitman: Blood Money,82,8.8,PC
Hearts of Iron II: Doomsday,80,8.8,PC
Harvest Moon: Magical Melody,83,8.8,GC
Midnight Club 3: DUB Edition Remix,85,8.8,PS2
Onimusha: Dawn of Dreams,81,8.8,PS2
Fight Night Round 3,83,8.8,XBOX
Fight Night Round 3,86,8.8,X360
Ape Escape 3,77,8.8,PS2
Mega Man X Collection,73,8.8,PS2
Gun,77,8.8,PS2
Gun,77,8.8,GC
Star Wars: Battlefront II,83,8.8,XBOX
SOCOM 3: U.S. Navy SEALs,82,8.8,PS2
Virtua Tennis: World Tour,84,8.8,PSP
Dance Dance Revolution Extreme 2,76,8.8,PS2
Sly 3: Honor Among Thieves,83,8.8,PS2
We Love Katamari,86,8.8,PS2
Delta Force: Black Hawk Down,58,8.8,PS2
Psychonauts,87,8.8,PC
Psychonauts,88,8.8,XBOX
Obscure,65,8.8,PS2
Combat: Task Force 121,44,8.8,XBOX
TimeSplitters: Future Perfect,84,8.8,PS2
TimeSplitters: Future Perfect,83,8.8,XBOX
Mortal Kombat: Deception,77,8.8,GC
Fight Night Round 2,88,8.8,PS2
Fight Night Round 2,88,8.8,XBOX
Star Wars Republic Commando,78,8.8,XBOX
Klonoa 2: Dream Champ Tournament,78,8.8,GBA
Dangerous Waters,82,8.8,PC
Dai Senryaku VII: Modern Military Tactics,74,8.8,XBOX
"Shaman King: Legacy of the Spirits, Sprinting Wolf",60,8.8,GBA
NFL Street 2,77,8.8,PS2
Kingdom Hearts: Chain of Memories,76,8.8,GBA
Blinx 2: Masters of Time & Space,68,8.8,XBOX
Dragon Ball Z: Budokai 3,77,8.8,PS2
Metroid Prime 2: Echoes,92,8.8,GC
OutRun2,79,8.8,XBOX
Scaler,69,8.8,XBOX
Kirby & the Amazing Mirror,80,8.8,GBA
Tak 2: The Staff of Dreams,75,8.8,GC
Mortal Kombat: Deception,81,8.8,XBOX
"Codename: Panzers, Phase One",81,8.8,PC
Monster Hunter,68,8.8,PS2
Def Jam: Fight for NY,84,8.8,XBOX
The Sims 2,90,8.8,PC
Digimon Rumble Arena 2,65,8.8,XBOX
Test Drive: Eve of Destruction,73,8.8,PS2
Astro Boy: Omega Factor,85,8.8,GBA
NCAA Football 2005,88,8.8,PS2
Spider-Man 2,80,8.8,PS2
Psi-Ops: The Mindgate Conspiracy,84,8.8,PS2
Harry Potter and the Prisoner of Azkaban,67,8.8,XBOX
Samurai Warriors,73,8.8,PS2
Rise of Nations: Thrones & Patriots,88,8.8,PC
Hitman: Contracts,78,8.8,XBOX
NBA Ballers,83,8.8,PS2
Samurai Jack: The Shadow of Aku,59,8.8,PS2
All-Star Baseball 2005,75,8.8,XBOX
Cy Girls,53,8.8,PS2
Unreal Tournament 2004,93,8.8,PC
The Suffering,77,8.8,PS2
The Suffering,77,8.8,XBOX
MX Unleashed,80,8.8,PS2
World Soccer Winning Eleven 7 International,93,8.8,PS2
Silent Storm,83,8.8,PC
NFL Street,80,8.8,PS2
Dance Dance Revolution Ultramix,82,8.8,XBOX
Battlestar Galactica,63,8.8,XBOX
NHL Rivals 2004,65,8.8,XBOX
Secret Weapons Over Normandy,77,8.8,XBOX
Space Channel 5 Special Edition,79,8.8,PS2
Victoria: An Empire Under the Sun,58,8.8,PC
NCAA March Madness 2004,82,8.8,PS2
Monster Rancher 4,77,8.8,PS2
Legacy of Kain: Defiance,75,8.8,PS2
NBA Live 2004,80,8.8,PC
Sphinx and the Cursed Mummy,79,8.8,GC
Prince of Persia: The Sands of Time,92,8.8,PS2
Risk: Global Domination,60,8.8,PS2
Prince of Persia: The Sands of Time,75,8.8,GBA
Tony Hawk's Underground,85,8.8,XBOX
Crimson Skies: High Road to Revenge,88,8.8,XBOX
Hidden & Dangerous 2,75,8.8,PC
SSX 3,92,8.8,GC
SSX 3,92,8.8,XBOX
The Haunted Mansion,71,8.8,XBOX
NHL Hitz Pro,81,8.8,XBOX
Tiger Woods PGA Tour 2004,89,8.8,PS2
The Simpsons: Hit & Run,79,8.8,GC
Dynasty Warriors 4,75,8.8,XBOX
Disgaea: Hour of Darkness,84,8.8,PS2
NFL Fever 2004,74,8.8,XBOX
SoulCalibur II,93,8.8,GC
SoulCalibur II,92,8.8,PS2
Tom Clancy's Ghost Recon: Island Thunder,81,8.8,XBOX
Silent Line: Armored Core,69,8.8,PS2
Wakeboarding Unleashed Featuring Shaun Murray,80,8.8,XBOX
Speed Kings,60,8.8,XBOX
"WarioWare, Inc.: Mega Microgame$!",89,8.8,GBA
Grand Theft Auto: Vice City,94,8.8,PC
Medieval: Total War - Viking Invasion,84,8.8,PC
Castlevania: Aria of Sorrow,91,8.8,GBA
Tom Clancy's Splinter Cell,77,8.8,GBA
Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,72,8.8,GBA
The Lost Vikings,75,8.8,GBA
Jurassic Park: Operation Genesis,75,8.8,PS2
Tom Clancy's Rainbow Six 3: Raven Shield,83,8.8,PC
Rayman 3: Hoodlum Havoc,76,8.8,PS2
Capcom vs. SNK 2 EO,80,8.8,XBOX
GT Advance 3: Pro Concept Racing,74,8.8,GBA
Resident Evil 2,59,8.8,GC
Seek and Destroy,63,8.8,PS2
Kirby: Nightmare in Dream Land,81,8.8,GBA
Dead to Rights,73,8.8,PS2
Marvel vs. Capcom 2,76,8.8,PS2
Star Wars: The New Droid Army,60,8.8,GBA
DDRMAX: Dance Dance Revolution,85,8.8,PS2
Tony Hawk's Pro Skater 4,85,8.8,GBA
Grand Theft Auto: Vice City,95,8.8,PS2
Suikoden III,86,8.8,PS2
NBA Live 2003,82,8.8,XBOX
V-Rally 3,82,8.8,GBA
Stronghold: Crusader,78,8.8,PC
Tribes Aerial Assault,73,8.8,PS2
Kelly Slater's Pro Surfer,77,8.8,PS2
Animal Crossing,87,8.8,GC
Medieval: Total War,88,8.8,PC
Eternal Darkness: Sanity's Requiem,92,8.8,GC
World Series Baseball,85,8.8,XBOX
Arc the Lad Collection,78,8.8,PS
King's Field: The Ancient City,60,8.8,PS2
Pirates: The Legend of Black Kat,74,8.8,XBOX
Grandia II,71,8.8,PS2
Capitalism II,82,8.8,PC
NHL 2002,89,8.8,XBOX
Jak and Daxter: The Precursor Legacy,90,8.8,PS2
Original War,61,8.8,PC
Dynasty Warriors 3,78,8.8,PS2
Legacy of Kain: Soul Reaver 2,77,8.8,PC
Tony Hawk's Pro Skater 2x,78,8.8,XBOX
Tony Hawk's Pro Skater 3,91,8.8,GC
Europa Universalis II,87,8.8,PC
Metal Gear Solid 2: Sons of Liberty,96,8.8,PS2
ICO,90,8.8,PS2
Commandos 2: Men of Courage,87,8.8,PC
Operation Flashpoint: Cold War Crisis,85,8.8,PC
Tony Hawk's Pro Skater 2,84,8.8,N64
Shogun: Total War Warlord Edition,87,8.8,PC
NFL GameDay 2002,62,8.8,PS
Desperados: Wanted Dead or Alive,78,8.8,PC
Baldur's Gate II: Throne of Bhaal,88,8.8,PC
Tokyo Xtreme Racer Zero,76,8.8,PS2
Mat Hoffman's Pro BMX,80,8.8,PS
Dance Dance Revolution,90,8.8,PS
Outlive,59,8.8,PC
Kohan: Immortal Sovereigns,87,8.8,PC
Unreal Tournament,90,8.8,DC
Clive Barker's Undying,85,8.8,PC
Mega Man X5,76,8.8,PS
Metropolis Street Racer,87,8.8,DC
WWF No Mercy,89,8.8,N64
The Longest Journey,91,8.8,PC
The Operative: No One Lives Forever,91,8.8,PC
Sacrifice,89,8.8,PC
Dynasty Warriors 2,75,8.8,PS2
Silent Scope,63,8.8,DC
Hogs of War,62,8.8,PS
Spider-Man,87,8.8,PS
Valkyrie Profile,81,8.8,PS
Metal Fatigue,68,8.8,PC
Railroad Tycoon II: Gold Edition,81,8.8,DC
Diablo II,88,8.8,PC
Marvel vs. Capcom 2,90,8.8,DC
Zombie Revenge,60,8.8,DC
Harvest Moon 64,78,8.8,N64
FreeSpace 2,91,8.8,PC
Jet Force Gemini,80,8.8,N64
Lunar: Silver Star Story Complete,78,8.8,PS
Bust A Groove 2,66,8.8,PS
Tenchu: Stealth Assassins,87,8.8,PS
Emergency: Fighters for Life,71,8.8,PC
Fallout,89,8.8,PC
Command & Conquer: Red Alert,90,8.8,PC
Quake,94,8.8,PC
Duke Nukem 3D,89,8.8,PC
Full Throttle,86,8.8,PC
Luigi's Mansion,71,8.7,3DS
Xenoblade Chronicles 2: Torna ~ The Golden Country,80,8.7,Switch
Okami HD,89,8.7,Switch
Octopath Traveler,83,8.7,Switch
Detroit: Become Human,78,8.7,PS4
Bayonetta + Bayonetta 2,90,8.7,Switch
Xenoblade Chronicles 2,83,8.7,Switch
Stardew Valley,87,8.7,Switch
Mary Skelter: Nightmares,78,8.7,VITA
Crash Bandicoot N. Sane Trilogy,80,8.7,PS4
Wipeout: Omega Collection,85,8.7,PS4
Dragon Quest VIII: Journey of the Cursed King,85,8.7,3DS
Pokemon Moon,87,8.7,3DS
Ori and the Blind Forest: Definitive Edition,88,8.7,PC
Battlezone 98 Redux,75,8.7,PC
Dark Souls III,87,8.7,XONE
Chronos,77,8.7,PC
Yakuza 5,83,8.7,PS3
DiRT Rally,86,8.7,PC
Pathologic Classic HD,76,8.7,PC
Life is Strange,83,8.7,PC
Tales From The Borderlands: Episode 5 - The Vault of the Traveler,86,8.7,PC
The Witcher 3: Wild Hunt - Hearts of Stone,90,8.7,PS4
Life is Strange: Episode 4 - Dark Room,74,8.7,XONE
Splatoon,81,8.7,WIIU
Life is Strange: Episode 3 - Chaos Theory,80,8.7,XONE
Tales From The Borderlands: Episode 2 - Atlas Mugged,78,8.7,PC
Ori and the Blind Forest,88,8.7,PC
Shantae and the Pirate's Curse,85,8.7,WIIU
LISA,78,8.7,PC
Pokemon Alpha Sapphire,82,8.7,3DS
The Walking Dead: Season Two Episode 3 - In Harm's Way,82,8.7,X360
Kirby: Triple Deluxe,80,8.7,3DS
Final Fantasy X / X-2 HD Remaster,85,8.7,PS3
Divinity: Original Sin,87,8.7,PC
Ys: Memories of Celceta,82,8.7,VITA
Rayman Legends,92,8.7,WIIU
Rayman Legends,91,8.7,PS3
Dishonored: The Brigmore Witches,80,8.7,PC
Brothers: A Tale of Two Sons,86,8.7,X360
Pikmin 3,87,8.7,WIIU
Mortal Kombat Komplete Edition,81,8.7,PC
Animal Crossing: New Leaf,88,8.7,3DS
The Swapper,87,8.7,PC
Crusader Kings II: The Old Gods,88,8.7,PC
Insurgency,74,8.7,PC
Ni no Kuni: Wrath of the White Witch,85,8.7,PS3
Euro Truck Simulator 2,79,8.7,PC
The Walking Dead: Episode 5 - No Time Left,88,8.7,PS3
The Walking Dead: A Telltale Games Series,89,8.7,PC
Batman: Arkham City,91,8.7,PC
Metal Gear Solid HD Collection,90,8.7,X360
Batman: Arkham City,96,8.7,PS3
Batman: Arkham City,94,8.7,X360
Dark Souls,89,8.7,X360
Bit.Trip Complete,84,8.7,WII
Toy Soldiers: Cold War,81,8.7,X360
Portal 2,95,8.7,X360
Dissidia 012: Duodecim Final Fantasy,78,8.7,PSP
chick chick BOOM,72,8.7,WII
Europa Universalis III: Divine Wind,71,8.7,PC
Donkey Kong Country Returns,87,8.7,WII
Recettear: An Item Shop's Tale,82,8.7,PC
BioShock 2: Minerva's Den,82,8.7,X360
BlazBlue: Continuum Shift,85,8.7,X360
Mega Man Zero Collection,78,8.7,DS
Snoopy Flying Ace,80,8.7,X360
Trauma Team,82,8.7,WII
Fat Princess: Fistful of Cake,74,8.7,PSP
Pokemon SoulSilver Version,87,8.7,DS
"Warhammer 40,000: Dawn of War II - Chaos Rising",85,8.7,PC
S.T.A.L.K.E.R.: Call of Pripyat,80,8.7,PC
No More Heroes 2: Desperate Struggle,84,8.7,WII
Tatsunoko vs. Capcom: Ultimate All-Stars,85,8.7,WII
Serious Sam HD: The First Encounter,69,8.7,X360
Matt Hazard: Blood Bath and Beyond,63,8.7,X360
God of War Collection,91,8.7,PS3
Harvest Moon: Animal Parade,76,8.7,WII
Shaun White Snowboarding: World Stage,72,8.7,WII
Dragon Age: Origins,91,8.7,PC
Machinarium,85,8.7,PC
Tetris,85,8.7,PSP
Batman: Arkham Asylum,91,8.7,PC
Mario & Luigi: Bowser's Inside Story,90,8.7,DS
Sonic & Knuckles,69,8.7,X360
The Beatles: Rock Band,88,8.7,PS3
Batman: Arkham Asylum,92,8.7,X360
Professor Layton and the Diabolical Box,84,8.7,DS
Shadow Complex,88,8.7,X360
NyxQuest: Kindred Spirits,82,8.7,WII
Resident Evil Archives: Resident Evil,76,8.7,WII
LEGO Battles,65,8.7,DS
EA Sports Active,81,8.7,WII
